"","region","oktmo","year","index"
"328","Волгоградская область",18,"2010",0.655279282108916
"329","Вологодская область",19,"2010",0.722742296829413
"330","Воронежская область",20,"2010",0.712504938323105
"331","Город Москва столица Российской Федерации город федерального значения",45,"2010",1
"332","Город Санкт-Петербург город федерального значения",40,"2010",0.747059704019611
"333","Еврейская автономная область",99,"2010",0.796731668494767
"334","Забайкальский край",76,"2010",0.641858494447403
"335","Ивановская область",24,"2010",0.651816116887143
"336","Иркутская область",25,"2010",0.672367720420978
"337","Кабардино-Балкарская Республика",83,"2010",0.590628351004964
"338","Калининградская область",27,"2010",0.739402951624473
"339","Калужская область",29,"2010",0.644362214037352
"340","Камчатский край",30,"2010",1.26086287943294
"341","Карачаево-Черкесская Республика",91,"2010",0.655453503694234
"342","Кемеровская область - Кузбасс",32,"2010",0.577289357514962
"343","Кировская область",33,"2010",0.657038674738116
"344","Костромская область",34,"2010",0.636493614738001
"345","Краснодарский край",3,"2010",0.716303459648072
"346","Красноярский край",4,"2010",0.737402266189316
"347","Курганская область",37,"2010",0.632111900970161
"348","Курская область",38,"2010",0.669861547005884
"349","Ленинградская область",41,"2010",0.734451950422917
"350","Липецкая область",42,"2010",0.656708226285211
"351","Магаданская область",44,"2010",1.01565785825234
"352","Московская область",46,"2010",0.773386794003833
"353","Мурманская область",47,"2010",0.904880740008228
"354","Нижегородская область",22,"2010",0.663126614923674
"355","Новгородская область",49,"2010",0.658460257438975
"356","Новосибирская область",50,"2010",0.70464370049919
"357","Омская область",52,"2010",0.604609428741327
"358","Оренбургская область",53,"2010",0.598245842197777
"359","Орловская область",54,"2010",0.585423787871724
"360","Пензенская область",56,"2010",0.616034438617973
"361","Пермский край",57,"2010",0.726522823436648
"362","Приморский край",5,"2010",0.856577192022451
"363","Псковская область",58,"2010",0.650591658139624
"364","Республика Адыгея (Адыгея)",79,"2010",0.644803902563511
"365","Республика Алтай",84,"2010",0.742166776679827
"366","Республика Башкортостан",80,"2010",0.610805337233279
"367","Республика Бурятия",81,"2010",0.695827106752027
"368","Республика Дагестан",82,"2010",0.615995177415648
"369","Республика Ингушетия",26,"2010",0.586523919478546
"370","Республика Калмыкия",85,"2010",0.628555490392866
"371","Республика Карелия",86,"2010",0.73208155533253
"372","Республика Коми",87,"2010",0.841217064554414
"373","Республика Марий Эл",88,"2010",0.593973732619761
"374","Республика Мордовия",89,"2010",0.615690085155912
"375","Республика Саха (Якутия)",98,"2010",0.912354273459182
